"","bathy.mean"
"942",7.6
"943",8.9
"944",9.55
"945",8.75
"946",8.675
"947",8.275
"948",8.75
"949",8.2
"950",9.1
"951",8.9
"952",9.7
"953",9.425
"954",7.525
"955",9.05
"956",11.1
"957",8.425
"958",6.775
"959",9.725
"960",8.075
"961",5.925
"962",8.525
"963",8.05
"964",6.125
"965",8.625
"966",5.95
"967",7.9
"968",7.25
"969",8.5
"970",7.35
"971",8.525
"972",7.45
"973",12.475
"974",7.875
"975",8.425
"976",7.075
"977",10.175
"978",10.35
"979",9.65
"980",5.575
"981",15.75
"982",8.25
"983",8.225
"984",10.7
"985",5.2
"986",8.55
"987",9.525
"988",8.775
"989",6.35
"990",8.45
"991",10.5
"992",12.9
"993",11
"994",7.175
"995",12.6
"996",7.15
"997",11.4
"998",10.375
"999",11.725
"1000",8.6
"1001",9.025
"1002",7.525
"1003",7.45
