"","status.mean"
"880",1.4925
"881",2.975
"882",2.03
"883",0.137499999999999
"884",0.0674999999999999
"885",2.3425
"886",1.725
"887",1.5625
"888",1.76
"889",2.7175
"890",1.665
"891",3.5175
"892",2.1
"893",0.647499999999999
"894",4.34
"895",3.475
"896",2.385
"897",3.945
"898",0.8875
"899",1.185
"900",3.285
"901",2.6875
"902",2.3175
"903",0.600000000000001
"904",0.11
"905",0.165
"906",0.262499999999999
"907",2.7025
"908",0.6175
"909",2.8575
"910",1.6675
"911",2.595
"912",0.3125
"913",2.365
"914",2.17
"915",2.915
"916",1.7925
"917",1.4475
"918",2.575
"919",1.1425
"920",1.19
"921",0.65
"922",2.0875
"923",1.3075
"924",1.16
"925",0.2825
"926",5.1825
"927",0.595000000000001
"928",2.54
"929",2.4475
"930",1.6425
"931",1.8125
"932",0.495
"933",3.3475
"934",0.112500000000001
"935",2.515
"936",1.4625
"937",1.705
"938",1.815
"939",1.555
"940",0.36
"941",2.915
"942",3.6575
"943",2.405
"944",1.2525
"945",4.975
"946",2.25
"947",0.36
"948",1.05
"949",2.4425
"950",0.932499999999999
"951",0.7725
"952",0.26
"953",2.0325
"954",0.1025
"955",2.175
"956",2.1125
"957",1.04
"958",3.765
"959",0.4775
"960",2.1725
"961",3.9125
"962",0.85
"963",3.7175
"964",1.3275
"965",1.4925
"966",0.6525
"967",1.275
"968",0.855
"969",0.8275
"970",0.2525
"971",1.2
"972",2.765
"973",0.760000000000001
"974",0.862500000000001
"975",1.6575
"976",1.13
"977",1.2725
"978",0.56
"979",2.315
"980",2.07
"981",3.4175
"982",3.105
"983",2.7125
"984",2.4975
"985",2.97
"986",0.0549999999999997
"987",0.42
"988",1.82
"989",1.2375
"990",3.2275
"991",1.6425
"992",0.1275
"993",4.065
"994",1.7575
"995",1.1975
"996",2.1625
"997",0.489999999999999
"998",2.0925
"999",0.605
"1000",1.2725
"1001",0.0124999999999993
"1002",1.5
"1003",0.180000000000001
