Dot Point Measurements																									
																									
Generated: Saturday 28 March 2020 16:12:21																									
																									
filename	frame	time.mins	image.row	image.col	date	location	site.	transect.	latitude	longitude	rugosity	depth	collector	fishing.status	spare	spare.1	broad			fieldofview	relief	bedforms			radius.
10.04.JPG	0		1725	2576													Unconsolidated	Sand / mud (fine sand)		Open	"4. High structural complexity, fissures and caves. Vertical wall. ~90 substrate slope."			82001015	45.2
10.04.JPG	0		2414	2576													Unconsolidated	Sand / mud (fine sand)		Open	3. Good relief structure with some overhangs. >45 substrate slope.			82001015	70.6
10.04.JPG	0		346	3311													Open Water			Open					100
10.04.JPG	0		1035	3311													Open Water			Open					84
10.04.JPG	0		1725	3311													Unconsolidated	Sand / mud (fine sand)		Open	3. Good relief structure with some overhangs. >45 substrate slope.			82001015	84
10.04.JPG	0		2414	3311													Unconsolidated	Sand / mud (fine sand)		Open	3. Good relief structure with some overhangs. >45 substrate slope.			82001015	100
10.07.JPG	0		346	369													Open Water			Open					100
10.07.JPG	0		1035	369													Unknown			Open					84
10.07.JPG	0		1725	369													Unconsolidated	Sand / mud (fine sand)		Open	3. Good relief structure with some overhangs. >45 substrate slope.			82001015	84
10.07.JPG	0		2414	369													Unconsolidated	Sand / mud (fine sand)		Open	2. Mostly relief features amongst some flat substrate or rubble. ~45 substrate slope.			82001015	100
10.07.JPG	0		346	1104													Open Water			Open					70.6
10.07.JPG	0		1035	1104													Unknown			Open					45.2
10.07.JPG	0		1725	1104													Unconsolidated	Sand / mud (fine sand)		Open	3. Good relief structure with some overhangs. >45 substrate slope.			82001015	45.2
10.07.JPG	0		2414	1104													Unconsolidated	Sand / mud (fine sand)		Open	2. Mostly relief features amongst some flat substrate or rubble. ~45 substrate slope.			82001015	70.6
10.07.JPG	0		346	1840													Open Water			Open					57.5
10.07.JPG	0		1035	1840													Open Water			Open					19.2
10.07.JPG	0		1725	1840													Sponges	Erect forms		Open	"4. High structural complexity, fissures and caves. Vertical wall. ~90 substrate slope."			10000912	19.2
10.07.JPG	0		2414	1840													Unconsolidated	Sand / mud (fine sand)		Open	2. Mostly relief features amongst some flat substrate or rubble. ~45 substrate slope.			82001015	57.5
10.07.JPG	0		346	2576													Open Water			Open					70.6
10.07.JPG	0		1035	2576													Open Water			Open					45.2
10.07.JPG	0		1725	2576													Sponges	Erect forms		Open	"4. High structural complexity, fissures and caves. Vertical wall. ~90 substrate slope."			10000912	45.2
10.07.JPG	0		2414	2576													Unconsolidated	Sand / mud (fine sand)		Open	2. Mostly relief features amongst some flat substrate or rubble. ~45 substrate slope.			82001015	70.6
10.07.JPG	0		346	3311													Open Water			Open					100
10.07.JPG	0		1035	3311													Open Water			Open					84
10.07.JPG	0		1725	3311													Unconsolidated	Sand / mud (fine sand)		Open	3. Good relief structure with some overhangs. >45 substrate slope.			82001015	84
