"","ID","bathymetry","TPI","sample","scientific","maxn","longitude","latitude"
"1552",1552,-99.5442276000977,-0.0393386706709862,8.12,"Gobiidae Amblyeleotris sp10",0,761695.080688299,7487518.1443205
"1553",1553,-117.573989868164,-0.0350268818438053,9.01,"Gobiidae Amblyeleotris sp10",0,760519.168204034,7487308.98960317
"1554",1554,-162.654724121094,-0.0211295951157808,9.02,"Gobiidae Amblyeleotris sp10",0,759027.631303557,7487207.02515307
"1555",1555,-136.033355712891,-0.0687120333313942,9.06,"Gobiidae Amblyeleotris sp10",0,760119.739825218,7488232.99807277
"1556",1556,-132.870834350586,-0.0665610581636429,9.07,"Gobiidae Amblyeleotris sp10",0,759427.087449943,7486283.04916743
"1557",1557,-178.383865356445,-0.0571325607597828,9.08,"Gobiidae Amblyeleotris sp10",0,758203.779415503,7486150.96938823
"1558",1558,-97.585807800293,0.104066781699657,10.01,"Gobiidae Amblyeleotris sp10",0,762667.658995623,7490100.15569396
"1559",1559,-99.3325729370117,0.0609821788966656,10.02,"Gobiidae Amblyeleotris sp10",0,762672.481205213,7490380.32767487
"1560",1560,-90.8180694580078,-0.144142180681229,10.03,"Gobiidae Amblyeleotris sp10",0,763340.653483073,7490878.37260373
"1561",1561,-161.060394287109,-0.0369151346385479,10.09,"Gobiidae Amblyeleotris sp10",0,763066.279616948,7495267.17920371
"1562",1562,-165.15934753418,0.00985708460211754,10.11,"Gobiidae Amblyeleotris sp10",0,763517.963020068,7496528.13186412
"1563",1563,NA,NA,10.12,"Gobiidae Amblyeleotris sp10",0,765014.537001473,7498893.50295101
"1564",1564,-82.1236267089844,-0.0755893811583519,10.13,"Gobiidae Amblyeleotris sp10",0,765062.805497171,7494255.3888656
"1565",1565,-74.9313430786133,0.103835061192513,10.14,"Gobiidae Amblyeleotris sp10",0,766392.295086729,7495783.60009627
"1566",1566,-88.7407073974609,0.105500407516956,10.15,"Gobiidae Amblyeleotris sp10",0,766667.305747999,7497791.83346488
"1567",1567,-89.4551010131836,0.0406838357448578,6.04,"Haemulidae Diagramma pictum labiosum",0,760863.057192233,7481723.50636682
"1568",1568,-90.9299240112305,-0.050831638276577,6.05,"Haemulidae Diagramma pictum labiosum",0,760980.795984866,7482893.46094986
"1569",1569,-95.1537399291992,0.142544746398926,6.12,"Haemulidae Diagramma pictum labiosum",0,761074.116123975,7484063.8338796
"1570",1570,-79.7921295166016,0.0863062366843224,7.01,"Haemulidae Diagramma pictum labiosum",0,761994.724647816,7483640.36856162
"1571",1571,-78.8450927734375,-0.0627537444233894,7.02,"Haemulidae Diagramma pictum labiosum",0,762243.663078039,7483916.33786622
"1572",1572,-77.537353515625,-0.140930309891701,7.03,"Haemulidae Diagramma pictum labiosum",0,762476.090298544,7484651.19094084
"1573",1573,-70.3975296020508,-0.00435680104419589,7.04,"Haemulidae Diagramma pictum labiosum",0,763252.438954012,7484357.52638535
"1574",1574,-67.7771682739258,0.00293297809548676,7.05,"Haemulidae Diagramma pictum labiosum",0,764299.940499012,7484211.98347622
"1575",1575,-67.5841751098633,-0.0166199840605259,7.08,"Haemulidae Diagramma pictum labiosum",0,764540.521894601,7484003.97630259
"1576",1576,-89.079948425293,0.526582837104797,8.01,"Haemulidae Diagramma pictum labiosum",0,761913.859428033,7486036.6765009
"1577",1577,-80.2089385986328,0.923622250556946,8.02,"Haemulidae Diagramma pictum labiosum",0,762567.507192634,7487120.97231703
"1578",1578,-64.9225158691406,0.0362119898200035,8.05,"Haemulidae Diagramma pictum labiosum",0,765036.916426606,7487197.3720496
"1579",1579,-63.8236236572266,-0.00767078530043364,8.06,"Haemulidae Diagramma pictum labiosum",0,765215.02745971,7487802.6125547
"1580",1580,-65.5418014526367,0.148975670337677,8.07,"Haemulidae Diagramma pictum labiosum",0,764832.138995991,7487896.80727465
