"campaignid","sample","family","genus","species","length","number","range"
"2019-08_Ningaloo_stereo-BRUVs",2.06,"Carangidae","Decapterus","spp",289.80172,1,2337.43772
"2019-08_Ningaloo_stereo-BRUVs",2.06,"Carangidae","Decapterus","spp",301.10183,1,2716.37058
"2019-08_Ningaloo_stereo-BRUVs",2.06,"Carangidae","Decapterus","spp",363.22118,1,2213.7994
"2019-08_Ningaloo_stereo-BRUVs",2.06,"Bothidae","Unknown","spp",48.64111,1,1611.76936
"2019-08_Ningaloo_stereo-BRUVs",2.06,"Balistidae","Abalistes","stellatus",376.46135,1,3171.61343
"2019-08_Ningaloo_stereo-BRUVs",2.07,"Balistidae","Abalistes","stellatus",403.26903,1,2355.50707
"2019-08_Ningaloo_stereo-BRUVs",2.07,"Lethrinidae","Lethrinus","rubrioperculatus",341.96093,1,2091.62933
"2019-08_Ningaloo_stereo-BRUVs",2.07,"Lethrinidae","Gymnocranius","grandoculis",403.89714,1,2670.30258
"2019-08_Ningaloo_stereo-BRUVs",2.07,"Lethrinidae","Gymnocranius","grandoculis",393.29417,1,3233.53984
"2019-08_Ningaloo_stereo-BRUVs",2.07,"Mullidae","Parupeneus","spilurus",383.98506,1,4514.05769
"2019-08_Ningaloo_stereo-BRUVs",2.07,"Lethrinidae","Lethrinus","nebulosus",341.39147,1,1223.37521
"2019-08_Ningaloo_stereo-BRUVs",2.07,"Lethrinidae","Lethrinus","nebulosus",393.4005,1,1368.17446
"2019-08_Ningaloo_stereo-BRUVs",2.07,"Lethrinidae","Lethrinus","nebulosus",422.35141,1,1652.86908
"2019-08_Ningaloo_stereo-BRUVs",2.07,"Carangidae","Carangoides","fulvoguttatus",809.63819,1,5834.62559
"2019-08_Ningaloo_stereo-BRUVs",2.07,"Carangidae","Carangoides","gymnostethus",383.90367,1,1640.66197
"2019-08_Ningaloo_stereo-BRUVs",2.07,"Carangidae","Carangoides","gymnostethus",326.0959,1,2095.27987
"2019-08_Ningaloo_stereo-BRUVs",2.07,"Carangidae","Decapterus","spp",292.43941,1,2257.12652
"2019-08_Ningaloo_stereo-BRUVs",2.07,"Carangidae","Decapterus","spp",308.97262,1,2377.77452
"2019-08_Ningaloo_stereo-BRUVs",2.07,"Carangidae","Decapterus","spp",298.07904,1,2137.93382
"2019-08_Ningaloo_stereo-BRUVs",3.01,"Lethrinidae","Lethrinus","rubrioperculatus",319.71844,1,1870.82927
"2019-08_Ningaloo_stereo-BRUVs",3.01,"Lutjanidae","Lutjanus","sebae",479.20365,1,1240.44229
"2019-08_Ningaloo_stereo-BRUVs",3.01,"Lutjanidae","Pristipomoides","multidens",421.61708,1,1477.94587
"2019-08_Ningaloo_stereo-BRUVs",3.01,"Lutjanidae","Pristipomoides","multidens",379.76529,1,2179.94713
"2019-08_Ningaloo_stereo-BRUVs",3.01,"Lutjanidae","Pristipomoides","multidens",285.91573,1,2994.96348
"2019-08_Ningaloo_stereo-BRUVs",3.01,"Lutjanidae","Pristipomoides","multidens",380.27567,1,2316.94754
"2019-08_Ningaloo_stereo-BRUVs",3.01,"Lutjanidae","Pristipomoides","multidens",363.92191,1,3810.03847
"2019-08_Ningaloo_stereo-BRUVs",3.01,"Mullidae","Parupeneus","heptacanthus",278.24955,1,4872.71604
"2019-08_Ningaloo_stereo-BRUVs",3.01,"Mullidae","Parupeneus","heptacanthus",239.88641,1,4359.51715
"2019-08_Ningaloo_stereo-BRUVs",3.01,"Carangidae","Carangoides","gymnostethus",367.99233,1,3502.65103
"2019-08_Ningaloo_stereo-BRUVs",3.01,"Synodontidae","Saurida","undosquamis",403.58269,1,3255.67069
"2019-08_Ningaloo_stereo-BRUVs",3.01,"Synodontidae","Saurida","undosquamis",412.58119,1,3069.86139
"2019-08_Ningaloo_stereo-BRUVs",3.01,"Sparidae","Argyrops","spinifer",308.00478,1,2122.94963
"2019-08_Ningaloo_stereo-BRUVs",3.02,"Sparidae","Argyrops","spinifer",328.59602,1,2152.31616
"2019-08_Ningaloo_stereo-BRUVs",3.02,"Sparidae","Argyrops","spinifer",332.73959,1,3106.47535
"2019-08_Ningaloo_stereo-BRUVs",3.02,"Lutjanidae","Lutjanus","sebae",463.9236,1,5169.15328
"2019-08_Ningaloo_stereo-BRUVs",3.03,"Lutjanidae","Pristipomoides","multidens",372.17539,1,2983.43969
"2019-08_Ningaloo_stereo-BRUVs",3.03,"Carangidae","Decapterus","spp",193.00008,1,3508.89809
"2019-08_Ningaloo_stereo-BRUVs",3.03,"Carangidae","Decapterus","spp",194.50997,1,3724.52246
"2019-08_Ningaloo_stereo-BRUVs",3.03,"Carangidae","Decapterus","spp",219.1697,1,3494.89243
"2019-08_Ningaloo_stereo-BRUVs",3.03,"Carangidae","Decapterus","spp",255.57911,1,3240.75677
"2019-08_Ningaloo_stereo-BRUVs",3.03,"Carangidae","Decapterus","spp",223.15833,1,3380.42416
"2019-08_Ningaloo_stereo-BRUVs",3.03,"Carangidae","Decapterus","spp",229.64894,1,3252.67425
"2019-08_Ningaloo_stereo-BRUVs",3.03,"Carangidae","Decapterus","spp",213.55473,1,3199.67904
"2019-08_Ningaloo_stereo-BRUVs",3.03,"Carangidae","Decapterus","spp",209.04155,1,3521.1906
"2019-08_Ningaloo_stereo-BRUVs",3.03,"Carangidae","Decapterus","spp",236.52298,1,4161.49473
"2019-08_Ningaloo_stereo-BRUVs",3.03,"Carangidae","Decapterus","spp",226.38835,1,3188.03944
"2019-08_Ningaloo_stereo-BRUVs",3.03,"Carangidae","Decapterus","spp",123.05206,1,2889.68314
"2019-08_Ningaloo_stereo-BRUVs",3.03,"Carangidae","Decapterus","spp",236.80697,1,3431.28278
"2019-08_Ningaloo_stereo-BRUVs",3.03,"Carangidae","Decapterus","spp",223.44793,1,3736.74073
"2019-08_Ningaloo_stereo-BRUVs",3.03,"Carangidae","Decapterus","spp",240.32542,1,3199.5404
"2019-08_Ningaloo_stereo-BRUVs",3.03,"Carangidae","Decapterus","spp",247.55906,1,2942.45542
