"","sample","scientific","family","genus","species","number","length","site","FB.Length_MAX","MinLegal.WA","min.length","Fishing.mortality","Fishing.type","Cut.off","Size.Class"
"109",12.03,"Lethrinidae Lethrinus nebulosus","Lethrinidae","Lethrinus","nebulosus",1,495.62213,12,870,"410",130.5,"Y","C/R",139.75,"Legal"
"110",12.03,"Lethrinidae Lethrinus nebulosus","Lethrinidae","Lethrinus","nebulosus",1,493.633,12,870,"410",130.5,"Y","C/R",139.75,"Legal"
"111",12.04,"Lethrinidae Gymnocranius grandoculis","Lethrinidae","Gymnocranius","grandoculis",1,408.2749,12,800,"280",120,"Y","C/R",80,"Legal"
"112",12.04,"Lethrinidae Gymnocranius grandoculis","Lethrinidae","Gymnocranius","grandoculis",1,330.02377,12,800,"280",120,"Y","C/R",80,"Legal"
"113",12.04,"Lethrinidae Lethrinus nebulosus","Lethrinidae","Lethrinus","nebulosus",1,522.16306,12,870,"410",130.5,"Y","C/R",139.75,"Legal"
"114",12.04,"Lethrinidae Lethrinus nebulosus","Lethrinidae","Lethrinus","nebulosus",1,471.05312,12,870,"410",130.5,"Y","C/R",139.75,"Legal"
"115",12.05,"Lethrinidae Gymnocranius grandoculis","Lethrinidae","Gymnocranius","grandoculis",1,373.70588,12,800,"280",120,"Y","C/R",80,"Legal"
"116",12.05,"Lethrinidae Gymnocranius grandoculis","Lethrinidae","Gymnocranius","grandoculis",1,330.30341,12,800,"280",120,"Y","C/R",80,"Legal"
"117",12.05,"Lethrinidae Gymnocranius griseus","Lethrinidae","Gymnocranius","griseus",1,293.3019,12,350,"280",52.5,"Y","C/R",113.75,"Legal"
"118",12.06,"Lethrinidae Gymnocranius grandoculis","Lethrinidae","Gymnocranius","grandoculis",1,388.26039,12,800,"280",120,"Y","C/R",80,"Legal"
"119",12.06,"Lethrinidae Gymnocranius grandoculis","Lethrinidae","Gymnocranius","grandoculis",1,396.09223,12,800,"280",120,"Y","C/R",80,"Legal"
"120",12.11,"Lethrinidae Gymnocranius grandoculis","Lethrinidae","Gymnocranius","grandoculis",1,337.14558,12,800,"280",120,"Y","C/R",80,"Legal"
"121",12.11,"Lethrinidae Gymnocranius grandoculis","Lethrinidae","Gymnocranius","grandoculis",1,343.85842,12,800,"280",120,"Y","C/R",80,"Legal"
"123",12.11,"Lethrinidae Lethrinus miniatus","Lethrinidae","Lethrinus","miniatus",1,285.96837,12,900,"280",135,"Y","C/R",72.5,"Legal"
"124",13.02,"Lethrinidae Gymnocranius grandoculis","Lethrinidae","Gymnocranius","grandoculis",1,426.36241,13,800,"280",120,"Y","C/R",80,"Legal"
"125",13.02,"Lethrinidae Gymnocranius grandoculis","Lethrinidae","Gymnocranius","grandoculis",1,407.29002,13,800,"280",120,"Y","C/R",80,"Legal"
"126",13.02,"Lethrinidae Gymnocranius grandoculis","Lethrinidae","Gymnocranius","grandoculis",1,482.28532,13,800,"280",120,"Y","C/R",80,"Legal"
"127",13.03,"Lethrinidae Gymnocranius grandoculis","Lethrinidae","Gymnocranius","grandoculis",1,375.73484,13,800,"280",120,"Y","C/R",80,"Legal"
"128",13.04,"Lethrinidae Gymnocranius grandoculis","Lethrinidae","Gymnocranius","grandoculis",1,332.23514,13,800,"280",120,"Y","C/R",80,"Legal"
"131",13.05,"Carcharhinidae Carcharhinus albimarginatus","Carcharhinidae","Carcharhinus","albimarginatus",1,682.65267,13,3000,"None",450,"Y","C/R",NA,"Legal"
"132",13.05,"Lethrinidae Gymnocranius grandoculis","Lethrinidae","Gymnocranius","grandoculis",1,408.40978,13,800,"280",120,"Y","C/R",80,"Legal"
"133",13.08,"Lethrinidae Gymnocranius grandoculis","Lethrinidae","Gymnocranius","grandoculis",1,291.91125,13,800,"280",120,"Y","C/R",80,"Legal"
"134",13.08,"Lethrinidae Gymnocranius grandoculis","Lethrinidae","Gymnocranius","grandoculis",1,319.80914,13,800,"280",120,"Y","C/R",80,"Legal"
"135",13.08,"Lethrinidae Gymnocranius grandoculis","Lethrinidae","Gymnocranius","grandoculis",1,377.8962,13,800,"280",120,"Y","C/R",80,"Legal"
"137",14.01,"Lethrinidae Gymnocranius grandoculis","Lethrinidae","Gymnocranius","grandoculis",1,319.91996,14,800,"280",120,"Y","C/R",80,"Legal"
"139",14.01,"Lethrinidae Lethrinus miniatus","Lethrinidae","Lethrinus","miniatus",1,326.19943,14,900,"280",135,"Y","C/R",72.5,"Legal"
"140",14.01,"Lethrinidae Lethrinus miniatus","Lethrinidae","Lethrinus","miniatus",1,344.93663,14,900,"280",135,"Y","C/R",72.5,"Legal"
"141",14.01,"Lethrinidae Lethrinus miniatus","Lethrinidae","Lethrinus","miniatus",1,379.15011,14,900,"280",135,"Y","C/R",72.5,"Legal"
"142",14.01,"Lethrinidae Lethrinus miniatus","Lethrinidae","Lethrinus","miniatus",1,336.18364,14,900,"280",135,"Y","C/R",72.5,"Legal"
"143",14.01,"Lethrinidae Lethrinus miniatus","Lethrinidae","Lethrinus","miniatus",1,318.61266,14,900,"280",135,"Y","C/R",72.5,"Legal"
"144",14.01,"Lethrinidae Lethrinus miniatus","Lethrinidae","Lethrinus","miniatus",1,376.8553,14,900,"280",135,"Y","C/R",72.5,"Legal"
"145",14.02,"Lethrinidae Gymnocranius grandoculis","Lethrinidae","Gymnocranius","grandoculis",1,324.38858,14,800,"280",120,"Y","C/R",80,"Legal"
"146",14.02,"Lethrinidae Gymnocranius grandoculis","Lethrinidae","Gymnocranius","grandoculis",1,330.58856,14,800,"280",120,"Y","C/R",80,"Legal"
"147",14.02,"Lethrinidae Lethrinus miniatus","Lethrinidae","Lethrinus","miniatus",1,322.11396,14,900,"280",135,"Y","C/R",72.5,"Legal"
"148",14.02,"Lethrinidae Lethrinus miniatus","Lethrinidae","Lethrinus","miniatus",1,452.55264,14,900,"280",135,"Y","C/R",72.5,"Legal"
"149",14.02,"Lethrinidae Lethrinus miniatus","Lethrinidae","Lethrinus","miniatus",1,570.55843,14,900,"280",135,"Y","C/R",72.5,"Legal"
"150",14.02,"Lethrinidae Lethrinus miniatus","Lethrinidae","Lethrinus","miniatus",1,443.10111,14,900,"280",135,"Y","C/R",72.5,"Legal"
"151",14.02,"Lethrinidae Lethrinus miniatus","Lethrinidae","Lethrinus","miniatus",1,337.86973,14,900,"280",135,"Y","C/R",72.5,"Legal"
"152",14.02,"Lethrinidae Lethrinus miniatus","Lethrinidae","Lethrinus","miniatus",1,366.68443,14,900,"280",135,"Y","C/R",72.5,"Legal"
"153",14.02,"Lethrinidae Lethrinus miniatus","Lethrinidae","Lethrinus","miniatus",1,405.24065,14,900,"280",135,"Y","C/R",72.5,"Legal"
"154",14.02,"Lethrinidae Lethrinus miniatus","Lethrinidae","Lethrinus","miniatus",1,386.2939,14,900,"280",135,"Y","C/R",72.5,"Legal"
"155",14.02,"Lethrinidae Lethrinus miniatus","Lethrinidae","Lethrinus","miniatus",1,322.49891,14,900,"280",135,"Y","C/R",72.5,"Legal"
"156",14.02,"Lutjanidae Lutjanus sebae","Lutjanidae","Lutjanus","sebae",1,538.97243,14,1160,"410",174,"Y","C/R",118,"Legal"
"158",14.03,"Lethrinidae Lethrinus miniatus","Lethrinidae","Lethrinus","miniatus",1,316.14879,14,900,"280",135,"Y","C/R",72.5,"Legal"
"159",14.03,"Lethrinidae Lethrinus miniatus","Lethrinidae","Lethrinus","miniatus",1,288.633,14,900,"280",135,"Y","C/R",72.5,"Legal"
"160",14.03,"Lethrinidae Lethrinus miniatus","Lethrinidae","Lethrinus","miniatus",1,358.94653,14,900,"280",135,"Y","C/R",72.5,"Legal"
"161",14.03,"Lethrinidae Lethrinus miniatus","Lethrinidae","Lethrinus","miniatus",1,355.47499,14,900,"280",135,"Y","C/R",72.5,"Legal"
"162",14.06,"Lethrinidae Gymnocranius grandoculis","Lethrinidae","Gymnocranius","grandoculis",1,475.22839,14,800,"280",120,"Y","C/R",80,"Legal"
"163",14.06,"Lethrinidae Gymnocranius grandoculis","Lethrinidae","Gymnocranius","grandoculis",1,424.12124,14,800,"280",120,"Y","C/R",80,"Legal"
"164",14.11,"Lethrinidae Gymnocranius grandoculis","Lethrinidae","Gymnocranius","grandoculis",1,379.45426,14,800,"280",120,"Y","C/R",80,"Legal"
"165",14.11,"Lethrinidae Gymnocranius grandoculis","Lethrinidae","Gymnocranius","grandoculis",1,382.3808,14,800,"280",120,"Y","C/R",80,"Legal"
"166",14.11,"Lethrinidae Gymnocranius grandoculis","Lethrinidae","Gymnocranius","grandoculis",1,341.54931,14,800,"280",120,"Y","C/R",80,"Legal"
"167",14.12,"Carcharhinidae Loxodon macrorhinus","Carcharhinidae","Loxodon","macrorhinus",1,604.99185,14,980,"None",147,"Y","C/R",NA,"Legal"
"168",14.12,"Lethrinidae Gymnocranius grandoculis","Lethrinidae","Gymnocranius","grandoculis",1,304.97884,14,800,"280",120,"Y","C/R",80,"Legal"
"169",14.12,"Lethrinidae Gymnocranius grandoculis","Lethrinidae","Gymnocranius","grandoculis",1,399.56448,14,800,"280",120,"Y","C/R",80,"Legal"
"172",14.12,"Lutjanidae Lutjanus sebae","Lutjanidae","Lutjanus","sebae",1,472.28663,14,1160,"410",174,"Y","C/R",118,"Legal"
"173",14.12,"Lutjanidae Lutjanus sebae","Lutjanidae","Lutjanus","sebae",1,586.45726,14,1160,"410",174,"Y","C/R",118,"Legal"
"174",14.12,"Lutjanidae Lutjanus sebae","Lutjanidae","Lutjanus","sebae",1,429.95326,14,1160,"410",174,"Y","C/R",118,"Legal"
"175",14.12,"Lutjanidae Lutjanus sebae","Lutjanidae","Lutjanus","sebae",1,561.584,14,1160,"410",174,"Y","C/R",118,"Legal"
"176",14.12,"Lutjanidae Lutjanus sebae","Lutjanidae","Lutjanus","sebae",1,490.53907,14,1160,"410",174,"Y","C/R",118,"Legal"
"177",14.12,"Lutjanidae Lutjanus sebae","Lutjanidae","Lutjanus","sebae",1,441.07336,14,1160,"410",174,"Y","C/R",118,"Legal"
"178",14.12,"Lutjanidae Lutjanus sebae","Lutjanidae","Lutjanus","sebae",1,530.08704,14,1160,"410",174,"Y","C/R",118,"Legal"
