sample,site,Longitude,Latitude,bathymetry,TPI,Slope,Aspect,TRI,Roughness,FlowDir,mean.relief,sd.relief,reef,sand,distance.to.ramp,status,target.fish
23.01,23,114.0835652,-21.68647769,-104.7586823,-0.028132612,0.038471121,5.157906532,0.754817009,2.669685364,32,1.666666667,0.6172134,0,100,20.53930823,F,0
23.02,23,114.0785763,-21.68555797,-110.7126999,0.004842265,0.013330279,5.107722759,0.262168884,0.912361145,16,1,0,0,100,20.900467,F,0
23.03,23,114.0811896,-21.68233893,-114.8726807,0.002105651,0.012077476,5.749918938,0.234931946,0.852752686,32,0.666666667,0.487950036,0,100,21.05951853,F,2
23.04,23,114.0845155,-21.67980968,-115.2874756,-0.005187423,0.009171239,5.040090084,0.179907799,0.706970215,16,1,0,0,100,21.12345999,F,0
23.06,23,114.0944932,-21.67475118,-110.9532547,0.055768255,0.010904883,2.259921789,0.201170921,0.807731628,2,0.5,0.512989176,0,100,21.11914807,F,1
23.09,23,114.0747,-21.706867,-66.78916931,0.019105591,0.020993587,5.690479279,0.398785591,1.401855469,32,0.304347826,0.470471969,13.05,86.96,19.19379324,F,0
30.01,30,113.90413,-21.91122,-70.00640869,0.035695791,0.005572844,4.527596474,0.133719444,0.419555664,32,0.333333333,0.658280589,9.52,90.48,7.642817374,F,1
30.02,30,113.90722,-21.90687,-69.52465057,0.046672404,0.004959624,5.33221817,0.127583504,0.463752747,32,0,0,0,100,7.350315659,F,5
30.03,30,113.91082,-21.89999,-71.45536804,-0.054114785,0.010797005,5.737673759,0.208300591,0.977478027,32,0.052631579,0.229415734,0,100,7.09127825,F,1
30.04,30,113.91423,-21.89513,-71.05098724,-0.032109071,0.034456108,5.222135544,0.658605576,2.464157104,32,1,0.978019294,20.84,79.17,6.879387863,F,1
30.05,30,113.91801,-21.88983,-69.23272705,0.138518095,0.057201978,5.410528183,1.061263084,3.551338196,32,1.428571429,0.790151014,25,75,6.705633636,F,1
30.06,30,113.9202,-21.8876,-68.52754211,0.11783877,0.024998173,5.329040051,0.471305847,1.944572449,32,2,1.112697281,36.37,63.64,6.597471065,F,2
31.01,31,114.08985,-21.6873167,-78.7257309,0.042050187,0.059761874,5.564219952,1.087518692,4.175323486,32,1.541666667,0.931532943,16.67,83.33,20.12528587,F,4
31.02,31,114.09,-21.6919667,-72.55914307,-0.035402086,0.013865475,5.300812721,0.263014793,1.001159668,16,0.571428571,0.507092553,4.76,95.24,19.6727617,F,1
31.03,31,114.0887667,-21.69445,-68.60127258,0.003283737,0.0082339,6.033685207,0.163444519,0.494468689,32,1.260869565,0.448977759,34.79,65.22,19.5033781,F,0
31.04,31,114.0877667,-21.69635,-66.35845947,-0.013015957,0.01970892,5.111949921,0.382094383,1.265792847,16,0.730769231,0.533493566,25.93,74.07,19.37910916,F,6
31.05,31,114.0814333,-21.70045,-68.92514038,0.035374496,0.018868936,6.011394024,0.370685577,1.163238525,32,0.55,0.510417786,20,80,19.3599665,F,1
31.06,31,114.0774833,-21.7025167,-67.47689056,0.036770556,0.02535053,5.348843575,0.474596024,1.721374512,32,0.52,0.585946528,8,92,19.40864442,F,1
