"","bathy.mean"
"975",8.75
"976",7
"977",9.75
"978",6.85
"979",9.25
"980",9.1
"981",8.75
"982",10.25
"983",8.9
"984",9.75
"985",8.95
"986",6
"987",8.35
"988",11.5
"989",10.9
"990",6.35
"991",11
"992",9.05
"993",7.75
"994",6.6
"995",9.5
"996",9
"997",10.4
"998",7.25
"999",7.25
"1000",11.75
"1001",8.5
"1002",10.65
"1003",8.05
